id,current_age,retirement_age,birth_year,birth_month,gender,address,per_capita_income,yearly_income,total_debt,credit_score,num_credit_cards
322,47,65,1972,10,Male,"19 Durban Road, Pietermaritzburg",247662,504990,224550,829,3
461,42,68,1977,12,Female,"241 Voortrekker Road, Durban",577404,1177254,1441026,784,4
1165,55,73,1964,11,Female,"336 Cape Road, Gqeberha",243396,496296,1069272,797,1
1448,48,70,1971,12,Female,"445 Nelson Mandela Drive, Johannesburg",340182,693702,0,850,3
1288,41,57,1978,7,Female,"165 Queen Street, Pretoria",335988,685062,1227960,634,2
1178,59,68,1960,11,Female,"40 Voortrekker Road, Cape Town",465696,949572,687438,693,5
1391,45,59,1975,2,Male,"991 Church Street, Gqeberha",451962,921528,1208952,631,4
838,26,70,1993,7,Male,"270 Nelson Mandela Drive, East London",438876,894834,1651968,763,1
54,21,68,1998,4,Female,"314 Voortrekker Road, Cape Town",389880,794880,2415114,696,3
1452,46,59,1973,5,Female,"529 Swart Street, Durban",1710702,3487914,4348278,660,1
1602,41,66,1979,2,Female,"703 Victoria Road, Pretoria",263700,537552,808236,717,2
1938,22,67,1997,7,Male,"615 Jan Smuts Avenue, Pretoria",506430,1032606,2077524,795,2
1492,63,58,1957,2,Female,"748 Durban Road, Durban",588546,1019430,234270,786,8
688,44,67,1975,3,Male,"188 Cape Road, Johannesburg",416970,850086,2718540,760,4
749,22,68,1997,10,Male,"500 Cape Road, Pretoria",216918,442332,1452006,674,3
643,29,65,1991,1,Female,"137 Durban Road, Durban",383094,781146,759024,697,2
1219,28,72,1991,6,Female,"660 Voortrekker Road, Pretoria",512946,1045890,1264572,688,3
1198,82,67,1937,6,Male,"878 Durban Road, Johannesburg",271656,195642,32760,820,2
898,90,66,1929,6,Female,"784 Johannesburg Road, Pretoria",223686,358074,30816,566,3
882,63,65,1956,8,Male,"530 Durban Road, East London",324342,661374,1290942,612,2
348,49,70,1970,7,Female,"17 Pretoria Street, Durban",409446,834786,1439640,719,3
633,36,69,1983,10,Female,"558 Nelson Mandela Drive, Johannesburg",442998,903222,1989270,743,1
1493,30,65,1989,11,Male,"26 King George Street, East London",481464,981666,2195766,765,4
1161,23,66,1996,12,Male,"892 Van der Merwe Avenue, Gqeberha",434790,886590,118026,823,2
217,42,65,1977,10,Male,"571 Main Road, Durban",273978,558558,393354,744,7
1877,65,66,1955,1,Male,"601 Durban Road, Pietermaritzburg",623862,1272114,1576890,714,4
668,87,57,1932,10,Female,"764 Johannesburg Road, Cape Town",238734,294156,31644,747,5
533,22,65,1997,9,Male,"873 King George Street, Pretoria",273294,557298,766746,677,1
203,58,67,1961,3,Female,"876 Queen Street, Gqeberha",267552,545490,421056,776,3
1738,30,68,1989,3,Male,"394 Johannesburg Road, East London",607248,1238112,3571506,696,4
713,25,71,1994,8,Female,"777 Voortrekker Road, Cape Town",306720,625410,477054,691,4
1631,18,67,2001,11,Female,"576 Main Road, Durban",571338,1164870,3143952,740,3
1487,59,69,1961,2,Female,"264 Voortrekker Road, Johannesburg",710352,1448352,1372698,727,3
1265,18,67,2002,2,Female,"179 Voortrekker Road, Johannesburg",439200,895464,416898,748,1
370,61,58,1958,11,Male,"817 Voortrekker Road, East London",290034,754272,225810,655,4
1014,54,70,1965,9,Female,"113 Main Road, East London",1737288,3542112,7875594,729,3
290,27,66,1992,3,Female,"485 King George Street, Cape Town",890244,1815066,1104786,687,2
985,32,65,1987,6,Male,"814 Church Street, East London",456012,929772,1718172,600,4
135,64,69,1955,6,Female,"653 Durban Road, East London",336240,685584,930222,691,2
307,18,69,2001,8,Male,"761 Durban Road, East London",325476,663588,0,680,2
1783,52,70,1967,9,Male,"82 Nelson Mandela Drive, Johannesburg",331974,676926,1146402,749,5
1321,49,66,1970,10,Female,"458 Queen Street, Durban",304380,620640,1058310,696,1
1511,43,66,1977,1,Male,"294 Queen Street, Cape Town",426240,869022,2056572,719,2
900,36,65,1983,7,Male,"185 Church Street, Pietermaritzburg",290394,592128,1256400,735,2
953,18,71,2001,6,Male,"321 Victoria Road, Johannesburg",264006,538362,770976,664,2
233,37,64,1982,12,Female,"80 Van der Merwe Avenue, Pietermaritzburg",419004,854352,1504638,716,1
406,23,64,1996,5,Female,"187 Main Road, Bloemfontein",751500,1532304,1956204,641,1
1069,54,69,1965,9,Male,"877 Jan Smuts Avenue, Pietermaritzburg",404766,825336,2065428,615,2
180,33,67,1986,7,Female,"790 Jan Smuts Avenue, Gqeberha",234432,478008,774756,840,2
996,63,67,1956,11,Female,"15 Church Street, Pretoria",354816,723492,1939770,738,6
1866,22,67,1998,2,Male,"640 Cape Road, Cape Town",548550,1118430,1353762,676,2
1981,48,65,1972,1,Male,"605 Queen Street, East London",346932,707454,425700,702,7
870,63,64,1956,3,Female,"928 Van der Merwe Avenue, Gqeberha",632052,1288674,2379258,821,3
16,75,67,1944,12,Male,"204 Swart Street, Johannesburg",278118,398844,343818,681,5
46,62,66,1957,6,Male,"113 Victoria Road, Durban",476658,971928,1767798,632,4
800,28,73,1991,10,Female,"160 Church Street, Durban",229788,468450,431478,723,4
1968,25,69,1994,11,Female,"417 Church Street, Durban",563382,1148688,1802304,775,1
697,56,73,1964,1,Female,"410 Market Street, Johannesburg",584730,1192140,1624464,742,3
1269,56,56,1963,10,Male,"498 King George Street, Cape Town",456570,654030,520722,676,2
1782,59,61,1961,2,Female,"896 Swart Street, Johannesburg",349884,713394,1054548,777,3
1977,43,69,1976,8,Female,"476 Cape Road, Pretoria",504864,1029330,0,773,3
1734,37,69,1982,11,Male,"565 Victoria Road, Cape Town",729540,1487466,1525716,739,2
1913,60,57,1960,1,Female,"869 Victoria Road, Johannesburg",616662,560178,589824,619,5
858,47,67,1972,11,Male,"878 Voortrekker Road, Pretoria",271656,553932,925704,700,3
606,48,67,1971,12,Male,"65 Church Street, Durban",293400,598248,1035882,747,1
1564,35,65,1984,10,Male,"899 King George Street, Durban",335034,683046,899118,683,3
1109,24,65,1995,11,Male,"562 Durban Road, Johannesburg",387324,789750,2306628,639,1
1301,26,66,1993,5,Female,"739 Victoria Road, Cape Town",546030,1113300,1460844,728,9
1399,28,71,1991,5,Male,"368 Main Road, Pretoria",355860,725652,2364264,707,4
1775,26,67,1993,8,Male,"489 Market Street, Pietermaritzburg",335196,683424,1007676,788,3
1673,41,67,1978,11,Male,"28 Swart Street, Bloemfontein",308610,629172,818208,772,3
1957,40,74,1979,9,Male,"592 Nelson Mandela Drive, Johannesburg",846990,1727010,4009230,772,2
1033,18,58,2002,2,Female,"665 Market Street, Durban",298764,609192,757962,684,2
1024,66,67,1953,4,Male,"141 Queen Street, Pietermaritzburg",578916,1180314,2575242,739,4
1441,40,66,1979,7,Male,"969 Jan Smuts Avenue, East London",429120,874962,783360,737,3
1103,45,70,1974,5,Female,"253 Pretoria Street, Pretoria",227124,463014,612126,746,3
431,19,72,2000,3,Female,"980 Durban Road, Gqeberha",458910,935712,1424736,691,3
165,34,65,1986,2,Male,"833 Church Street, Gqeberha",950634,1938294,4050306,694,3
353,24,69,1996,2,Female,"422 Victoria Road, East London",289962,591246,603252,721,2
1758,57,66,1963,1,Male,"756 Van der Merwe Avenue, Bloemfontein",199098,406008,778680,645,4
1266,35,54,1984,9,Female,"456 Victoria Road, Bloemfontein",406620,829134,1917504,618,1
1943,19,65,2000,9,Female,"931 Queen Street, Durban",841716,1716264,1295496,706,3
792,28,65,1992,1,Female,"528 Market Street, East London",398844,813240,237024,698,2
1055,37,69,1982,4,Male,"538 Swart Street, Bloemfontein",272466,555570,991422,594,1
1159,20,69,1999,11,Male,"43 Queen Street, Bloemfontein",366786,747774,882378,732,4
1115,53,73,1966,9,Male,"499 Nelson Mandela Drive, East London",266598,543564,737100,693,6
38,45,64,1974,12,Female,"660 Church Street, Pretoria",353178,720108,1310292,621,1
1027,53,68,1966,5,Male,"771 Victoria Road, Cape Town",544176,1109628,0,693,3
11,39,67,1980,10,Female,"760 Durban Road, Gqeberha",597150,1217574,0,714,6
871,86,71,1933,5,Female,"757 Queen Street, Gqeberha",248760,407700,0,690,6
746,63,67,1956,10,Male,"169 Jan Smuts Avenue, Gqeberha",267408,545184,769410,689,4
1520,67,65,1952,10,Male,"68 Nelson Mandela Drive, East London",405882,849834,19476,789,5
1372,76,66,1943,10,Female,"254 Queen Street, Johannesburg",270090,507870,326088,697,2
1799,32,55,1987,4,Male,"969 Johannesburg Road, East London",931518,1899270,3464244,646,4
1905,36,68,1983,12,Male,"414 Church Street, Gqeberha",251496,512802,109566,808,4
130,63,69,1956,9,Female,"45 Victoria Road, Pretoria",715536,1458864,2811510,781,4
1990,19,62,2000,12,Female,"218 Market Street, Gqeberha",417240,850734,1347354,726,2
593,19,71,2000,7,Male,"540 Pretoria Street, Durban",298530,608688,1399860,635,1
540,25,69,1994,9,Female,"772 Durban Road, Bloemfontein",283860,578880,1130454,634,1
1155,83,65,1936,8,Female,"45 King George Street, East London",278316,530892,21528,689,5
663,68,63,1951,3,Female,"520 Voortrekker Road, Bloemfontein",658134,1269972,703404,655,5
1987,63,62,1956,9,Male,"584 Swart Street, East London",415764,606348,449946,488,2
1484,92,72,1927,8,Female,"278 Voortrekker Road, Pietermaritzburg",554724,1039176,40698,726,6
417,21,65,1998,3,Male,"898 Queen Street, East London",193140,393822,1253484,762,1
298,28,65,1991,5,Male,"270 King George Street, Pretoria",450558,918738,1925802,686,1
306,18,69,2002,1,Male,"254 Nelson Mandela Drive, Cape Town",621342,1266840,1922346,725,2
607,25,64,1994,8,Male,"664 King George Street, Johannesburg",376236,767106,1216620,771,5
1769,75,65,1944,7,Male,"765 King George Street, Cape Town",393498,828558,149976,661,5
698,55,66,1964,10,Female,"503 Nelson Mandela Drive, Gqeberha",574686,1171692,430362,699,3
896,27,65,1993,2,Female,"865 Van der Merwe Avenue, Pretoria",329004,670824,906984,626,1
1975,53,67,1967,2,Female,"506 Victoria Road, Cape Town",344052,701496,793764,738,3
645,63,64,1957,2,Female,"872 Nelson Mandela Drive, East London",235350,479898,768006,750,5
227,48,66,1971,9,Male,"708 King George Street, Pretoria",726552,1481310,27990,736,4
84,47,68,1972,9,Male,"543 Van der Merwe Avenue, Gqeberha",227340,463464,746190,738,3
1684,56,65,1963,11,Male,"263 Voortrekker Road, Durban",246024,501498,1949634,782,5
745,18,72,2001,12,Male,"750 Swart Street, Durban",428760,874098,0,752,1
1508,66,69,1953,4,Female,"495 Durban Road, Cape Town",344250,701982,1167750,747,4
1158,62,66,1957,4,Male,"843 Voortrekker Road, Durban",292302,596016,1008720,716,2
1427,34,66,1985,10,Female,"658 Nelson Mandela Drive, Durban",890586,1815840,3788010,770,1
352,22,65,1997,11,Male,"832 Swart Street, Johannesburg",327150,667044,909864,680,2
1948,24,58,1995,3,Male,"976 King George Street, East London",416988,850212,1604772,685,3
724,45,72,1974,5,Female,"227 Pretoria Street, Pietermaritzburg",310266,632556,1942164,731,4
543,43,65,1976,3,Female,"554 Victoria Road, Gqeberha",271242,552978,899298,749,3
1559,56,67,1963,12,Female,"396 Cape Road, Durban",519516,1059228,2282508,746,3
1199,29,68,1990,6,Male,"436 Pretoria Street, Johannesburg",344898,703242,1149912,720,2
1745,20,65,2000,2,Female,"5 Swart Street, Bloemfontein",436536,890082,553014,728,3
1950,39,73,1980,3,Female,"362 Durban Road, East London",196956,401616,710010,720,5
1397,32,72,1987,4,Male,"535 Durban Road, Pretoria",321210,654984,1673082,710,4
873,52,68,1967,8,Female,"696 Nelson Mandela Drive, Gqeberha",397548,810666,572256,710,3
1728,47,63,1972,10,Female,"224 Victoria Road, Bloemfontein",340866,695070,1338066,601,4
299,40,61,1979,7,Male,"386 King George Street, Cape Town",249210,508122,1002150,622,5
1742,58,67,1961,11,Female,"679 Jan Smuts Avenue, Cape Town",443484,904176,21924,751,4
1004,59,66,1960,5,Male,"954 Market Street, Cape Town",303246,618300,1109502,705,3
301,47,69,1972,11,Male,"429 Church Street, Durban",461772,941544,2435742,679,1
1011,27,66,1992,8,Female,"369 Church Street, Cape Town",283032,577098,1060272,676,1
906,75,69,1945,2,Male,"898 Market Street, Pietermaritzburg",391482,380772,103752,705,6
110,52,72,1967,10,Female,"812 Pretoria Street, Gqeberha",460692,939348,771336,737,4
1073,43,70,1976,5,Female,"577 Van der Merwe Avenue, Pietermaritzburg",311292,634752,1265904,770,2
705,84,71,1935,9,Female,"179 Swart Street, Johannesburg",760212,1437660,72558,609,2
820,70,59,1949,12,Female,"798 Durban Road, Bloemfontein",481716,754236,534834,633,5
1188,24,61,1995,8,Female,"293 Johannesburg Road, Bloemfontein",564732,1151442,2311416,626,1
1128,47,68,1972,7,Male,"577 Durban Road, East London",305568,622908,430362,680,5
1479,32,60,1987,11,Male,"347 Johannesburg Road, Bloemfontein",235062,479358,611100,805,1
1594,39,64,1980,11,Male,"546 Jan Smuts Avenue, Pretoria",317610,647604,888588,643,3
1485,64,69,1955,10,Male,"587 Durban Road, Durban",439236,895608,1615374,618,4
1390,37,71,1982,6,Male,"947 Voortrekker Road, Pretoria",537624,1096146,1543878,850,3
644,58,65,1961,3,Female,"814 Nelson Mandela Drive, East London",370458,755334,969426,741,1
1912,37,60,1982,7,Female,"566 Church Street, Gqeberha",397062,809568,2418030,684,1
1584,27,69,1992,9,Male,"613 Swart Street, Pietermaritzburg",412596,841194,617994,692,2
1803,26,60,1993,4,Female,"711 Main Road, Pretoria",416322,848880,1155474,578,1
1824,23,65,1996,7,Male,"555 Pretoria Street, Pretoria",445266,907794,1746522,838,3
340,20,63,1999,8,Male,"808 Nelson Mandela Drive, Cape Town",456534,930834,1550970,809,1
650,45,65,1974,8,Male,"271 King George Street, Pietermaritzburg",213768,435870,513936,707,6
762,49,59,1970,9,Male,"748 Church Street, Durban",329274,671364,938412,683,1
1061,25,67,1994,12,Male,"231 King George Street, Pretoria",357192,728226,1238868,739,1
1931,58,72,1961,6,Male,"16 Main Road, Pietermaritzburg",732492,1493532,3265722,503,2
702,46,68,1973,7,Female,"751 King George Street, Pietermaritzburg",627714,1279854,2463354,721,4
918,43,75,1976,5,Female,"271 Cape Road, Johannesburg",257760,525492,196110,703,2
1137,52,67,1967,10,Male,"723 Swart Street, Bloemfontein",295380,602370,1776834,669,3
66,20,71,1999,6,Female,"461 Market Street, Johannesburg",276498,563652,725958,721,4
1406,36,68,1983,7,Male,"312 Market Street, East London",209394,426924,24948,712,2
437,46,66,1973,6,Female,"303 Queen Street, East London",641610,1308060,520470,718,3
806,24,67,1995,4,Female,"169 Victoria Road, Gqeberha",688374,1403496,110304,686,3
891,38,66,1981,10,Female,"946 Voortrekker Road, Gqeberha",307674,627372,732996,746,5
1191,25,69,1994,12,Female,"635 Van der Merwe Avenue, Johannesburg",325764,664236,1089684,711,1
701,28,59,1991,12,Female,"764 Victoria Road, Bloemfontein",476568,971712,1370124,701,1
1147,80,69,1939,3,Male,"454 Victoria Road, Johannesburg",842886,1884456,125190,704,2
1625,24,66,1995,5,Female,"648 Victoria Road, Pietermaritzburg",893322,1821438,5233140,659,1
1664,38,66,1981,10,Male,"297 Queen Street, Pretoria",614142,1252188,900054,791,4
1273,21,71,1998,4,Male,"246 Durban Road, Bloemfontein",436014,888876,776268,762,1
1009,41,65,1979,1,Female,"544 Van der Merwe Avenue, East London",253674,517194,0,702,3
1341,87,72,1932,8,Male,"36 Voortrekker Road, East London",358452,546282,53730,686,4
925,31,68,1988,3,Male,"796 Victoria Road, Johannesburg",516780,1053684,1676754,610,1
824,32,66,1987,8,Female,"872 Voortrekker Road, East London",325800,664218,419274,695,4
563,70,65,1950,1,Male,"153 Nelson Mandela Drive, Durban",445050,891558,120726,737,6
1612,68,66,1951,8,Male,"404 Johannesburg Road, Pretoria",371682,636660,265986,562,1
1700,45,62,1975,1,Female,"271 Church Street, Bloemfontein",341316,695988,2102094,822,1
963,24,70,1995,12,Female,"402 Queen Street, Bloemfontein",368244,750852,981738,687,3
904,32,66,1987,8,Male,"970 Queen Street, Pretoria",216324,441090,943290,759,1
1586,43,65,1977,1,Male,"957 Jan Smuts Avenue, Durban",500004,1019520,1874412,672,4
1286,53,67,1966,10,Female,"309 Van der Merwe Avenue, Johannesburg",543636,1108404,1536894,602,2
719,53,66,1966,11,Female,"537 Queen Street, Bloemfontein",442602,902502,1973214,767,3
1469,21,68,1998,12,Male,"972 Jan Smuts Avenue, Pretoria",305820,623628,975690,759,1
930,22,65,1998,1,Male,"698 Church Street, Johannesburg",220932,450432,526086,691,2
1814,41,68,1979,1,Female,"638 Nelson Mandela Drive, East London",290052,591408,477630,703,3
1723,41,66,1978,10,Female,"244 Van der Merwe Avenue, Durban",318528,649440,1447974,839,3
1377,32,68,1987,11,Female,"259 Swart Street, Cape Town",261630,533466,1016028,569,3
470,56,65,1964,2,Male,"296 Church Street, Cape Town",252072,513954,1695852,747,3
1804,18,65,2001,9,Male,"593 Market Street, Pietermaritzburg",384030,782982,1952424,701,4
229,35,57,1984,6,Female,"720 Swart Street, Bloemfontein",523062,1066464,3129966,725,5
1512,44,65,1975,6,Male,"201 Main Road, Pietermaritzburg",591570,1206144,1465236,778,8
1543,31,68,1988,10,Female,"515 King George Street, Bloemfontein",935568,1907334,1912788,684,4
147,30,66,1989,4,Male,"880 Swart Street, Gqeberha",497754,1014894,2342736,800,4
1941,38,78,1981,8,Male,"731 Voortrekker Road, Durban",340812,694962,494334,740,3
901,48,66,1971,9,Male,"886 Queen Street, Cape Town",323766,660078,717876,850,3
191,28,65,1991,10,Male,"136 Nelson Mandela Drive, Pietermaritzburg",351900,717480,2030850,728,1
12,18,63,2002,2,Female,"656 Main Road, Durban",333558,680130,1047366,748,1
1828,50,68,1969,6,Male,"384 Voortrekker Road, Pretoria",0,44388,99378,711,2
29,68,60,1951,8,Female,"163 King George Street, Johannesburg",336276,492444,244026,665,2
181,26,65,1994,1,Female,"885 Nelson Mandela Drive, East London",450450,918432,3261312,602,1
995,40,64,1979,5,Female,"821 Victoria Road, Pietermaritzburg",897624,1830222,5541408,592,1
1218,20,71,1999,6,Male,"208 Queen Street, Johannesburg",245376,500418,0,754,1
186,61,69,1958,11,Female,"832 Jan Smuts Avenue, Pretoria",340146,693648,1301382,705,1
171,43,70,1976,5,Female,"880 Church Street, Pietermaritzburg",437652,892386,2561652,694,3
1401,24,71,1995,11,Male,"282 Voortrekker Road, East London",323730,660096,893880,739,2
1314,43,70,1976,11,Male,"957 Church Street, Johannesburg",347850,709272,1293462,723,5
1560,61,60,1958,5,Female,"244 Johannesburg Road, Gqeberha",339282,332136,302886,741,6
613,39,69,1980,9,Female,"547 King George Street, Durban",499338,1018116,2006910,712,4
346,90,74,1929,11,Female,"367 Nelson Mandela Drive, Pietermaritzburg",454482,874440,32130,687,7
812,41,67,1978,4,Female,"540 Cape Road, Durban",366084,746442,2149614,659,1
13,52,61,1967,6,Female,"772 Church Street, Durban",285822,582804,1186542,588,4
602,57,67,1963,1,Male,"637 Nelson Mandela Drive, Cape Town",303984,619866,0,681,4
657,83,68,1936,11,Female,"392 Church Street, East London",372546,610146,9594,705,4
909,38,64,1981,5,Male,"908 Nelson Mandela Drive, Pretoria",432792,882414,1190664,583,5
183,24,65,1995,12,Female,"865 Queen Street, Cape Town",340866,694962,717606,798,3
1792,18,68,2001,11,Female,"175 Cape Road, East London",271116,552816,684972,723,2
1599,22,68,1997,7,Male,"876 Main Road, Bloemfontein",288198,587610,1077318,790,3
1267,81,65,1938,10,Female,"307 Jan Smuts Avenue, Pretoria",508464,574416,39276,630,4
411,30,67,1990,1,Male,"403 Voortrekker Road, Cape Town",331218,675378,1182618,775,2
350,62,70,1957,8,Female,"957 Market Street, Pietermaritzburg",516114,1052334,2540718,737,4
1323,36,68,1983,3,Female,"768 Johannesburg Road, Gqeberha",277326,565452,760194,719,4
934,32,63,1987,12,Female,"542 Main Road, East London",362862,739908,1925334,762,3
421,53,67,1967,1,Female,"567 Van der Merwe Avenue, Cape Town",405036,825768,1048536,790,7
223,37,67,1982,10,Female,"514 Nelson Mandela Drive, Bloemfontein",517680,1055466,1572120,803,6
1402,35,63,1984,10,Male,"537 Van der Merwe Avenue, East London",852552,1738332,4775742,590,3
1650,18,67,2002,2,Male,"29 Swart Street, Bloemfontein",389556,794304,2562624,687,3
354,77,72,1942,8,Female,"254 Pretoria Street, Pretoria",399330,574956,213210,713,6
314,27,66,1992,6,Male,"307 Swart Street, Pietermaritzburg",511380,1042686,1579248,557,1
1457,20,66,1999,6,Male,"190 Swart Street, Cape Town",403650,823050,1838952,688,4
1613,39,65,1980,12,Male,"434 Voortrekker Road, Johannesburg",389646,794412,0,792,4
945,19,66,2001,2,Male,"664 Church Street, Pietermaritzburg",499464,1018422,1435068,705,2
586,37,63,1983,2,Male,"485 Cape Road, Gqeberha",413694,843552,1061172,751,4
119,44,67,1975,9,Female,"531 Main Road, Pietermaritzburg",499698,1018890,1583460,624,3
1312,31,66,1988,4,Female,"297 Cape Road, Bloemfontein",452070,921762,1384200,765,1
1529,51,69,1968,4,Male,"579 Jan Smuts Avenue, Pretoria",673632,1373490,2030130,692,3
326,18,61,2001,3,Male,"607 Market Street, Pretoria",541368,1103850,1510182,652,1
1596,42,69,1977,3,Male,"382 Van der Merwe Avenue, Pietermaritzburg",280494,571896,311148,734,4
714,61,67,1958,10,Female,"36 Johannesburg Road, Bloemfontein",647856,1320894,2793438,760,2
887,55,66,1964,4,Male,"949 Jan Smuts Avenue, Pietermaritzburg",470466,959166,918468,816,4
1425,88,67,1931,4,Female,"25 Durban Road, Durban",344070,346050,29592,809,8
1645,62,65,1957,11,Female,"211 Van der Merwe Avenue, Johannesburg",534456,1089738,2888208,716,3
1863,44,61,1975,12,Female,"245 Main Road, Johannesburg",389502,794232,1928916,850,1
1576,88,65,1932,1,Female,"717 Main Road, Durban",442404,661752,15102,712,8
1268,47,63,1972,9,Male,"862 Durban Road, Cape Town",261288,532746,798984,513,4
1565,37,66,1983,1,Female,"552 Cape Road, Pietermaritzburg",341262,695808,855414,584,1
1842,45,64,1974,10,Male,"964 King George Street, Cape Town",276930,564714,1052658,637,2
664,22,68,1997,4,Female,"828 Cape Road, Pretoria",297342,606258,1409868,697,2
485,39,64,1980,10,Male,"11 Nelson Mandela Drive, Bloemfontein",337320,687798,1519686,665,2
244,40,62,1979,7,Female,"32 Market Street, Pietermaritzburg",236592,482436,781992,638,2
145,58,65,1962,1,Female,"889 Church Street, Bloemfontein",223686,456012,3276,696,3
866,34,67,1985,3,Male,"768 Main Road, Cape Town",546498,1114272,2256444,639,3
1424,101,68,1918,5,Female,"271 Market Street, Johannesburg",235548,276264,25128,761,4
427,44,66,1975,11,Female,"615 Jan Smuts Avenue, Johannesburg",287190,585486,1337958,705,3
684,51,63,1969,2,Male,"440 Queen Street, Pretoria",389898,795060,1620882,661,7
1643,28,64,1991,6,Female,"429 Nelson Mandela Drive, Gqeberha",406782,829386,1826100,686,1
1300,58,66,1961,3,Male,"866 King George Street, Gqeberha",203832,415656,369810,752,4
283,19,69,2000,11,Male,"107 Voortrekker Road, Cape Town",271152,552780,557208,680,2
355,22,62,1997,11,Female,"889 Victoria Road, Gqeberha",357408,728838,1473822,691,2
1669,44,62,1975,5,Male,"580 Main Road, Bloemfontein",454212,926172,2720916,698,4
